name,mass,radius,orbital_period,discovered,detection_type,star_name,ra,dec,star_distance,star_mass,star_radius
CoRoT-16 b,0.535,1.17,5.35227,2010,Primary Transit,CoRoT-16,278.525,-6.0025,840.0,1.098,1.19
CoRoT-17 b,2.43,1.02,3.768125,2010,Primary Transit,CoRoT-17,278.6958333,-6.6122222,920.0,1.04,1.59
CoRoT-18 b,3.47,1.31,1.9000693,2011,Primary Transit,CoRoT-18,98.170833347,0.031388901,870.0,0.95,1.0
CoRoT-19 b,1.11,1.29,3.89713,2011,Primary Transit,CoRoT-19,97.033333336,0.170555562,800.0,1.21,1.65
CoRoT-2 b,3.31,1.465,1.7429964,2007,Primary Transit,CoRoT-2,291.7791667,1.3838889,300.0,0.97,0.902
CoRoT-20 b,4.24,0.84,9.24285,2011,Primary Transit,CoRoT-20,97.730434,0.22692,1230.0,1.14,0.92
CoRoT-21 b,2.26,1.3,2.72474,2011,Primary Transit,CoRoT-21,101.05245,-0.29913,,1.29,1.945
CoRoT-22 b,0.0383853003178,0.435365216104,9.75598,2011,Primary Transit,CoRoT-22,280.66666668,6.225000011,592.0,1.099,1.136
CoRoT-23 b,2.8,1.08,3.6314,2011,Primary Transit,CoRoT-23,279.782615,4.3578,600.0,1.14,1.61
CoRoT-24 b,0.018,0.33,5.1134,2011,Primary Transit,CoRoT-24,101.925000014,-3.719444461,600.0,0.91,0.86
CoRoT-24 c,0.088,0.44,11.759,2011,Primary Transit,CoRoT-24,101.925000014,-3.719444461,600.0,0.91,0.86
CoRoT-25 b,0.27,1.08,4.86069,2012,Primary Transit,CoRoT-25,280.6292,6.5139,1000.0,1.09,1.19
CoRoT-26 b,0.52,1.26,4.20474,2012,Primary Transit,CoRoT-26,279.75,6.97,1670.0,1.09,1.79
CoRoT-27 b,10.39,1.007,3.57532,2012,Primary Transit,CoRoT-27,278.4958,5.5386,,1.05,1.08
CoRoT-28 b,0.484,0.955,5.20851,2012,Primary Transit,CoRoT-28,278.6875,5.5739,560.0,1.01,1.78
CoRoT-29 b,0.85,0.9,2.85057,2012,Primary Transit,CoRoT-29,278.9042,6.4797,765.0,0.976,0.9
CoRoT-3 b,21.77,1.01,4.2567994,2008,Primary Transit,CoRoT-3,292.0541667,0.1219444,680.0,1.41,1.44
CoRoT-30 b,2.84,1.02,9.06005,2017,Primary Transit,CoRoT-30,277.600000008,6.835833352,960.0,0.97,0.92
CoRoT-31 b,0.85,1.5,4.62941,2017,Primary Transit,CoRoT-31,94.820833339,-4.422222235,220.0,1.26,2.2
CoRoT-32 b,0.15,0.57,6.71837,2017,Primary Transit,CoRoT-32,100.195833349,9.257500011,,1.09,0.79
CoRoT-33 b,59.2,1.1,5.819143,2015,Primary Transit,CoRoT-33,279.641666678,5.624722241,,0.86,0.94
CoRoT-4 b,0.72,1.19,9.20205,2008,Primary Transit,CoRoT-4,102.1958333,-0.6727778,,1.1,1.15
CoRoT-5 b,0.467,1.33,4.0378962,2008,Primary Transit,CoRoT-5,101.2791667,0.8152778,400.0,1.0,1.186
CoRoT-6 b,2.96,1.166,8.886593,2009,Primary Transit,CoRoT-6,281.075,6.6633333,,1.055,1.025
CoRoT-7 b,0.0149,0.136,0.853585,2009,Primary Transit,CoRoT-7,100.9541667,-1.0627778,150.0,0.93,0.87
CoRoT-7 c,0.04266,,3.698,2009,Radial Velocity,CoRoT-7,100.9541667,-1.0627778,150.0,0.93,0.87
CoRoT-8 b,0.215838655885,0.569186491545,6.21229,2010,Primary Transit,CoRoT-8,291.5875,1.4266667,380.0,0.88,0.77
CoRoT-9 b,0.84,0.94,95.273804,2010,Primary Transit,CoRoT-9,280.7875,6.2041667,460.0,0.99,0.94
DE0823-49 b,31.5,,247.75,2013,Imaging,DE0823-49,125.762500001,-48.799722218,20.69,0.045,
DH Tau b,11.0,,,2005,Imaging,DH Tau,67.425,26.5494444,,0.37,
DP Leo b,6.05,,10230.0,2009,Pulsar,DP Leo,169.3166667,17.9613889,,0.69,
DW Lyn b,5.58,,,2013,Radial Velocity,DW Lyn,106.790862503,60.6472583571,,,
DW Uma b,10.06,,4967.0,2016,Other,DW Uma,158.470833351,58.781944472,,,
EPC 212069861 b,,0.237,30.9542,2017,Primary Transit,EPIC 212069861,134.444208349,21.4535527896,156.0,0.615,0.592
EPIC 201128338 b,,0.251,32.6527,2017,Primary Transit,EPIC 201128338,181.632800011,-5.82741113604,112.0,0.654,0.631
EPIC 201295312 b,0.0379,0.245,5.65639,2016,Primary Transit,EPIC 201295312,174.012500001,-2.520833347,,1.13,1.52
EPIC 201445392 c,,0.215,2.50856,2015,Primary Transit,K2-8,169.79366667,-0.2843888954,,0.79,0.74
EPIC 201598502 b,,0.178,7.51554,2017,Primary Transit,EPIC 201598502,183.809191671,2.02095278154,126.0,0.512,0.495
EPIC 201637175 b,1.4,0.25,0.381071,2015,Primary Transit,EPIC 201637175 ,169.483333352,2.618611125,225.0,0.6,0.57
EPIC 201713348 b,,0.118,1.42266,2015,Primary Transit,EPIC 201713348,169.450000016,3.866388919,,0.8,0.74
EPIC 201713348 c,,0.25,5.34059,2015,Primary Transit,EPIC 201713348,169.450000016,3.866388919,,0.8,0.74
EPIC 203826436 b,,0.144,4.44117,2015,Primary Transit,EPIC 203826436,243.450000016,-24.786944463,,0.9,0.85
EPIC 203826436 c,,0.245,6.42904,2015,Primary Transit,EPIC 203826436,243.450000016,-24.786944463,,0.9,0.85
EPIC 203826436 d,,0.244,14.09189,2015,Primary Transit,EPIC 203826436,243.450000016,-24.786944463,,0.9,0.85
EPIC 204221263 b,,0.138,4.01593,2016,Primary Transit,EPIC 204221263,240.033333336,-23.189166675,,1.07,1.1
EPIC 204221263 c,,0.216,10.56103,2016,Primary Transit,EPIC 204221263,240.033333336,-23.189166675,,1.07,1.1
EPIC 210894022 b,0.027,0.17,5.35117,2017,Radial Velocity,EPIC 210894022,59.8897541778,21.2986861291,210.0,0.89,1.23
EPIC 211331236 b,,0.181,1.291563,2017,Primary Transit,EPIC 211331236,133.855654175,10.4691027891,100.0,0.532,0.513
EPIC 211331236 c,,0.173,5.44425,2017,Primary Transit,EPIC 211331236,133.855654175,10.4691027891,100.0,0.532,0.513
EPIC 211391664 b,0.101,0.38,10.13675,2016,Primary Transit,EPIC 211391664,126.488287519,11.5111444634,435.0,1.074,1.311
EPIC 211418729 b,1.85,0.942,11.39109,2017,Primary Transit,EPIC 211418729,127.882962511,11.9222639117,481.0,0.832,0.828
EPIC 211442297 b,0.84,1.115,20.273034,2017,Primary Transit,EPIC 211442297,126.553445838,12.2819361287,417.0,0.831,0.881
EPIC 211822797 b,,0.2,21.169619,2016,Primary Transit,EPIC 211822797,130.410354179,17.6400055736,,0.61,0.59
EPIC 211913977 b,,0.18,14.677286,2016,Primary Transit,EPIC 211913977,130.344087508,18.9338750191,,0.8,0.73
EPIC 211924657 b,,0.2,2.644646,2017,Primary Transit,EPIC 211924657,130.026783335,19.0929111204,80.0,0.358,0.35
EPIC 211969807 b,,0.17,1.97419,2016,Primary Transit,EPIC 211969807,129.636754178,19.7738277988,,0.51,0.48
EPIC 211970147 b,,0.12,9.915615,2016,Primary Transit,EPIC 211970147,130.056045838,19.7788111362,,0.77,0.71
EPIC 211990866 b,,0.31,1.673916,2016,Primary Transit,EPIC 211990866,129.601258341,20.1060638957,,1.18,1.19
EPIC 212006344 b,,0.109,2.219315,2017,Primary Transit,EPIC 212006344,126.476345851,20.3595777924,74.0,0.644,0.612
EPIC 213715787 b,,0.123,0.961917,2017,Primary Transit,EPIC 213715787,293.83319,-28.497833,88.0,0.583,0.554
EPIC 216468514 b,0.84,1.44,3.31392,2016,Primary Transit,EPIC 216468514,284.985375019,-22.2934027915,,1.3,1.78
EPIC 218916923 b,0.381,0.812,28.38229,2017,Primary Transit,EPIC 218916923,289.066666672,-17.910555582,152.0,0.918,0.86
EPIC 219388192 b,36.5,0.937,5.292569,2016,Primary Transit,EPIC 219388192,289.391666678,-16.871666688,300.0,0.99,1.01
EPIC 220194974 b,,0.119,4.38395,2017,Primary Transit,EPIC 220194974,14.5178208348,-0.19315556708,121.0,0.65,0.632
EPIC 220194974 c,,0.154,6.9226,2017,Primary Transit,EPIC 220194974,14.5178208348,-0.19315556708,121.0,0.65,0.632
EPIC 220194974 d,,0.146,9.7579,2017,Primary Transit,EPIC 220194974,14.5178208348,-0.19315556708,121.0,0.65,0.632
EPIC 220504338,1.28,0.91,5.817712,2016,Primary Transit,EPIC 220504338,19.450000016,6.702222238,553.4,1.007,1.047
EPIC 220522664 b,,0.146,11.332,2017,Primary Transit,EPIC 220522664,9.82190000575,7.27710001368,118.0,0.595,0.568
EPIC 220598331 b,,0.178,10.59357,2017,Primary Transit,EPIC 220598331,18.3441750075,8.98753891192,110.0,0.457,0.436
EPIC 220621087 b,,0.12,3.835592,2017,Primary Transit,EPIC 220621087,19.3045250044,9.50138056666,62.7,0.44,0.429
EPIC 228735255 b,1.019,1.095,6.5693,2017,Primary Transit,EPIC 228735255,188.137333344,-9.607638907,340.24,1.005,0.987
EPIC 228754001 b,0.495,1.089,9.1708,2017,Primary Transit,EPIC 228754001,182.16641668,-8.74717502574,,1.19,4.11
EPIC 228934525 b,,0.199,3.67635,2017,Primary Transit,EPIC 228934525,189.001516667,-2.66948057114,133.0,0.672,0.649
EPIC 228934525 c,,0.187,7.95478,2017,Primary Transit,EPIC 228934525,189.001516667,-2.66948057114,133.0,0.672,0.649
EPIC 246393474 b,0.0167,0.137,0.2803226,2017,Primary Transit,EPIC 246393474,350.91666668,-1.189166675,59.0,0.662,0.674
EPIC-206011691 b,,0.142,9.32414,2015,Primary Transit,EPIC-206011691,340.303708338,-14.4889861253,65.0,0.64,0.6
EPIC-206011691 c,,0.171,15.5012,2015,Primary Transit,EPIC-206011691,340.303708338,-14.4889861253,65.0,0.64,0.6
EPIC-210490365 b,,0.306,3.484552,2015,Primary Transit,EPIC-210490365,63.275000002,15.247777794,45.7,0.294,0.295
FL Lyr b,9.0,,4400.0,2015,Pulsar,FL Lyr,288.020833335,46.324166679,138.0,2.2,
FU Tau b,15.0,,,2009,Imaging,FU Tau,65.8958333,25.0508333,140.0,0.05,
FW Tau b,10.0,,,2013,Imaging,FW Tau,67.37500001,26.281388906,145.0,0.26,
Fomalhaut b,3.0,,320000.0,2008,Imaging,Fomalhaut,344.4125,-29.6222222,7.704,1.92,1.842
GJ 1132 b,0.0051,0.103,1.62893,2015,Primary Transit,GJ 1132,153.716666684,-47.156666675,12.04,0.181,0.207
GJ 1214 b,0.0203253311519,0.238201870286,1.58040482,2009,Primary Transit,GJ 1214,258.8291667,4.9638889,13.0,0.15,0.216
GJ 15 A b,0.0168328980902,,11.4433,2014,Radial Velocity,GJ 15 A,4.59535550763,44.0229522831,3.587,0.375,0.3863
GJ 160.2 b,0.0320926281345,,5.2354,2014,Radial Velocity,GJ 160.2,61.6451723449,-19.1468780083,,0.69,
GJ 163 b,0.0334,,8.633,2012,Radial Velocity,GJ 163,62.3167,-53.3736,15.0,0.4,
GJ 163 c,0.02285,,25.645,2012,Radial Velocity,GJ 163,62.3167,-53.3736,15.0,0.4,
GJ 163 d,0.06945,,600.895,2013,Radial Velocity,GJ 163,62.3167,-53.3736,15.0,0.4,
GJ 176 b,0.0265,,8.7836,2007,Radial Velocity,GJ 176,70.7333333,18.9580556,9.42,0.49,0.53
GJ 179 b,0.82,,2288.0,2010,Radial Velocity,GJ 179,73.025,6.4766667,12.3,0.357,0.38
GJ 180 b,0.0261145895605,,17.38,2014,Radial Velocity,GJ 180,73.4582490167,-17.7734139096,,0.43,
GJ 180 c,0.0201365509864,,24.329,2014,Radial Velocity,GJ 180,73.4582490167,-17.7734139096,,0.43,
GJ 229 A b,0.100682754932,,471.0,2014,Radial Velocity,GJ 229 A,92.6442305532,-21.8646421676,,0.58,
GJ 229 B,35.0,,,1995,Imaging,GJ 229 A,92.6442305532,-21.8646421676,,0.58,
GJ 27.1 b,0.0409023691911,,15.819,2014,Radial Velocity,GJ 27.1,9.99510797794,-43.7467781869,,0.53,
GJ 273 b,0.00909,,18.6498,2017,Radial Velocity,GJ 273,111.852041675,5.2257777894,3.8,0.29,0.293
GJ 273 c,0.00371,,4.7234,2017,Radial Velocity,GJ 273,111.852041675,5.2257777894,3.8,0.29,0.293
GJ 3021 b,3.37,,133.71,2000,Radial Velocity,GJ 3021,4.05,-79.8511111,17.62,0.9,0.9
GJ 3138 b,0.0132,,5.974,2017,Radial Velocity,GJ 3138,32.2954166703,-16.339583345,,0.681,0.5
GJ 3138 c,0.0056,,1.22003,2017,Radial Velocity,GJ 3138,32.2954166703,-16.339583345,,0.681,0.5
GJ 3138 d,0.033,,257.8,2017,Radial Velocity,GJ 3138,32.2954166703,-16.339583345,,0.681,0.5
GJ 317 b,2.56,,692.0,2007,Radial Velocity,GJ 317,130.2458333,-23.4563889,15.1,0.42,
GJ 317 c,2.0,,7300.0,2007,Radial Velocity,GJ 317,130.2458333,-23.4563889,15.1,0.42,
GJ 328 b,2.3,,4100.0,2013,Radial Velocity,GJ 328,133.7833,1.54901111,19.8,0.69,
GJ 3293 b,0.07406,,30.5987,2014,Radial Velocity,GJ 3293,67.150000012,-25.169166672,17.9,0.42,0.404
GJ 3293 c,0.06636,,122.6196,2014,Other,GJ 3293,67.150000012,-25.169166672,17.9,0.42,0.404
GJ 3293 d,0.024,,48.1345,2014,Radial Velocity,GJ 3293,67.150000012,-25.169166672,17.9,0.42,0.404
GJ 3293 e,0.0103,,13.2543,2017,Radial Velocity,GJ 3293,67.150000012,-25.169166672,17.9,0.42,0.404
GJ 3323 b,0.00636,,5.3636,2017,Radial Velocity,GJ 3323,75.4895833525,-6.9460833622,,0.164,0.119
GJ 3323 c,0.00727,,40.54,2017,Radial Velocity,GJ 3323,75.4895833525,-6.9460833622,,0.164,0.119
GJ 3341 b,0.35717,,14.207,2014,Radial Velocity,GJ 3341,78.945833349,-31.296111127,23.1,0.47,0.349
GJ 3470 b,0.0437533292587,0.373807429400356,3.33671,2012,Primary Transit,GJ 3470,119.775,15.3916667,29.28,0.539,0.55
GJ 3634 b,0.026,,2.64561,2011,Radial Velocity,GJ 3634,164.6458333,-31.1441667,19.8,0.45,0.43
GJ 3942 b,0.0225,,6.905,2017,Radial Velocity,GJ 3942,242.262500001,52.943888916,16.93,0.63,0.61
GJ 3998 b,0.00777,,2.64977,2016,Radial Velocity,GJ 3998,259.004166667,11.058333341,17.8,0.5,0.49
GJ 3998 c,0.0197,,13.74,2016,Radial Velocity,GJ 3998,259.004166667,11.058333341,17.8,0.5,0.49
GJ 422 b,0.0311487273071,,26.161,2014,Radial Velocity,GJ 422,169.000856292,-56.4523336445,,0.35,
GJ 433 b,0.01667,,7.3697,2009,Radial Velocity,GJ 433,173.8625,-32.54,9.04,0.48,
GJ 433 c,0.14,,3693.0,2012,Radial Velocity,GJ 433,173.8625,-32.54,9.04,0.48,
GJ 436 b,0.07,0.38,2.64394,2004,Primary Transit,GJ 436,175.5458333,26.7063889,10.2,0.452,0.464
GJ 504 b,4.0,0.96,,2013,Imaging,GJ 504,199.1958,9.4242,17.56,1.22,
GJ 536 b,0.0169,,8.7076,2016,Radial Velocity,GJ 536,210.262500001,-2.655000017,10.03,0.52,0.5
GJ 570 D,42.5,0.855,,2000,Imaging,GJ 570 ABC,224.366666676,-21.415277798,5.91,0.802,
GJ 581 b,0.05,,5.36865,2005,Radial Velocity,GJ 581,229.8583333,-7.7222222,6.21,0.31,0.3
GJ 581 c,0.017,,12.9182,2007,Radial Velocity,GJ 581,229.8583333,-7.7222222,6.21,0.31,0.3
GJ 581 e,0.0061,,3.14945,2009,Radial Velocity,GJ 581,229.8583333,-7.7222222,6.21,0.31,0.3
GJ 625 b,0.0095,,14.638,2017,Radial Velocity,GJ 625,246.354166675,54.303333342,6.49,0.3,0.31
GJ 649 b,0.328,,598.3,2009,Radial Velocity,GJ 649,254.5375,25.7441667,10.34,0.54,
GJ 649 c,0.03,,4.4762,2013,Radial Velocity,GJ 649,254.5375,25.7441667,10.34,0.54,
GJ 667 C b,0.0176,,7.2004,2009,Radial Velocity,GJ 667 C,259.7375,-34.9897222,6.84,0.33,
GJ 667 C c,0.012,,28.14,2011,Radial Velocity,GJ 667 C,259.7375,-34.9897222,6.84,0.33,
GJ 667 C d,0.01604,,91.61,2012,Radial Velocity,GJ 667 C,259.7375,-34.9897222,6.84,0.33,
GJ 667 C e,0.0085,,62.24,2013,Radial Velocity,GJ 667 C,259.7375,-34.9897222,6.84,0.33,
GJ 667 C f,0.0085,,39.026,2013,Radial Velocity,GJ 667 C,259.7375,-34.9897222,6.84,0.33,
GJ 667 C g,0.0145,,256.2,2013,Radial Velocity,GJ 667 C,259.7375,-34.9897222,6.84,0.33,
GJ 674 b,0.04,1.13,4.6944,2007,Radial Velocity,GJ 674,262.1666667,-46.8952778,4.54,0.35,
GJ 676 A b,6.7,,1052.1,2009,Radial Velocity,GJ 676 A,262.5458333,-51.6369444,16.45,0.71,
GJ 676 A c,6.8,,7337.0,2012,Radial Velocity,GJ 676 A,262.5458333,-51.6369444,16.45,0.71,
GJ 676 A d,0.014,,3.6,2012,Radial Velocity,GJ 676 A,262.5458333,-51.6369444,16.45,0.71,
