4000
Residential Storm,15/8/2008,3.716,8,755 27 830 1331 1031 146 459 1092
Strip The Spend,22/5/2010,7.583,7,1418 1339 270 498 765 394 1676
Save The Bath,5/2/1993,7.123,2,348 1069
Mind The Curve,25/4/2002,6.040,14,1956 1109 447 413 483 739 471 591 1595 490 612 623 230 1038
Fat And The Tea,20/9/1997,5.729,9,860 49 438 230 473 837 530 1305 409
Uttermost Candidate,10/3/1982,6.203,14,1168 685 1795 1467 1867 1690 246 60 1051 1465 1942 515 337 1715
Vinegary Assumption,23/11/1999,5.805,11,68 1211 1363 975 1248 1088 345 1280 242 636 1197
Cope The Farm,17/3/2005,5.776,3,602 1856 1338
Hurt The Phrase,26/11/1977,4.845,7,571 557 843 370 1513 500 1720
Distinguish The Transportation,10/1/2002,5.070,15,1973 1040 1354 251 1327 587 1662 1777 1155 1616 460 1566 1510 1770 730
Remedial Shoulder,4/8/1999,4.136,11,1727 474 1062 632 832 61 844 379 853 1649 1769
Blood And The Water,9/11/1983,6.014,14,1282 474 875 1498 1865 1603 1005 1174 436 938 162 1904 794 1567
The Trust,13/7/1974,6.438,16,867 981 200 276 1057 1610 803 1823 354 371 1975 1138 1886 1749 1771 362
Kind And The Appearance,8/9/2011,6.707,12,1159 22 1298 1728 1566 1342 530 24 1999 659 66 1572
Screw And The Eat,8/9/1972,7.284,4,1388 827 1609 1538
Phone The Stage,28/2/2013,9.923,10,1696 770 1371 838 1264 419 855 482 1586 190
Precious Shame,8/7/1989,5.804,2,1629 206
Sassy Heart,23/11/1996,7.807,5,1925 1946 1487 1728 1762
Orange Software,10/10/2015,7.910,8,1618 1712 240 450 1541 466 619 1220
Suit The Jury,22/4/1998,3.561,16,178 406 588 919 1122 762 1351 532 1482 1330 1084 1388 565 495 125 1635
Learn The Sale,30/3/1989,3.845,13,741 1256 846 1290 217 1046 1124 1088 565 952 768 50 187
Contoured Category,7/1/2007,5.720,13,1045 686 1223 1116 401 1155 1096 794 1924 1735 1003 125 1132
Fill The Raw,15/3/1993,4.265,11,1038 390 1425 1449 1768 1624 1138 1352 1303 1298 1221
Realise The Mistake,28/12/1977,7.178,13,282 241 294 615 730 1680 656 1815 1454 821 120 1947 63
Amazing Earth,15/6/1982,5.910,5,268 944 47 417 1288
The Give,24/1/2008,4.679,11,317 1222 368 130 1147 1561 1041 830 1497 530 374
Congratulate The City,19/4/1999,6.651,10,301 1566 705 1027 1274 913 1357 244 1612 29
Righteous Laugh,26/2/2001,6.213,10,673 1297 857 1414 722 1878 898 362 1136 1954
Four Error,3/12/2008,4.140,9,670 1858 92 1603 315 1321 1696 1418 1789
The Broad,21/6/2010,2.991,12,1899 194 1059 386 288 1602 971 1763 1823 81 1455 1352
Federal Hate,19/6/2016,3.337,11,1261 610 906 813 1922 375 188 365 574 1217 775
Tolerate The Ruin,7/4/1992,5.124,9,760 673 319 363 505 1360 1276 1888 9
Combined Limit,19/9/2013,5.244,7,1250 1945 16 823 1266 877 389
Hypothetical Material,25/4/1995,8.164,13,1163 32 677 411 151 1076 1805 5 1318 39 1707 1242 318
The Cross,1/10/1996,5.943,4,1897 551 598 1424
The Maybe,18/4/2011,5.418,13,665 1366 1359 1867 1268 449 658 968 1643 722 1242 632 263
The Possession,28/8/1976,9.941,9,566 1866 42 229 1376 1308 1666 929 1043
The Site,7/4/2016,8.333,13,495 4 1687 1958 1109 548 959 777 392 1587 969 115 930
The Savings,1/4/1990,9.819,16,1133 1722 1944 876 520 314 766 885 474 1934 1829 1109 1383 1582 1907 297
The Landscape,29/2/2000,8.783,6,1536 917 1161 1190 1895 1626
Vehement Sense,25/7/2006,5.884,14,569 698 385 1821 1458 323 1331 10 1710 21 1528 1432 1597 80
Crotchety Introduction,1/7/1974,9.423,5,40 386 383 1051 0
Skin And The Birth,28/8/1982,7.969,13,291 653 1108 1453 51 62 421 204 264 594 1016 1991 71
Aim The Final,29/9/2001,6.982,9,950 874 804 1504 1680 85 1177 516 129
The Advantage,10/5/2015,6.581,4,1536 717 25 552
Attain The Chance,24/5/1999,3.342,15,935 1603 1747 985 156 994 785 1902 1865 1749 173 1041 365 1629 687
Standard And The Bone,13/7/1979,6.060,12,1496 526 937 983 1134 1336 1964 228 441 1357 1734 955
Mistake And The Obligation,1/3/2010,6.417,6,1579 153 783 1259 546 1052
Athletic Event,11/5/1970,9.646,9,1955 1362 1908 608 53 701 957 704 1983
Touch The Condition,8/5/2007,5.837,12,919 1714 1659 1749 728 134 1290 1657 824 1702 280 97
Achieve The Homework,24/4/1977,3.560,11,24 1517 1250 1753 263 1851 86 238 1150 1961 931
Chat The Visit,22/5/2014,4.723,7,33 1304 15 1303 572 643 1801
The Permission,27/6/1984,8.945,9,196 830 66 1007 1816 737 1145 1913 895
Painless Reality,14/5/1998,9.074,3,863 1704 335
Inhibited Survey,21/11/1989,4.227,9,1567 314 242 1869 1507 395 329 1425 1152
Happen The War,27/5/1995,4.062,4,770 1395 468 185
Title And The Release,30/9/2005,6.373,15,1193 93 599 1257 1442 1958 1090 1608 840 1765 1217 111 1633 1895 531
The Housing,9/7/1975,7.093,8,1335 20 1622 594 18 55 1711 692
Glad And The Satisfaction,2/3/1990,9.644,16,1724 1713 388 1556 20 718 361 818 1773 646 165 1994 1052 1123 1148 1617
Supervise The Week,21/12/2005,4.058,5,91 380 1216 636 482
Suffering Degree,17/11/1989,2.760,3,1386 421 226
The Apple,18/11/2012,6.052,14,1926 925 726 860 888 1710 349 494 1663 353 1528 1757 1411 1294
The Tone,29/9/1984,6.595,3,1209 302 1347
Recommendation And The Employ,28/9/2005,9.488,4,927 1264 319 1899
Concerted History,23/12/2008,7.021,15,1556 1459 437 654 817 702 23 1999 1267 1058 1121 514 645 1929 673
The Current,9/3/2003,3.612,11,611 777 1766 545 1018 339 281 131 1447 852 1727
Worry The Formal,24/1/1985,4.141,11,1469 1201 1259 1102 881 1298 1683 981 731 1415 952
The Garbage,25/8/1986,3.360,11,546 1546 1706 352 10 1742 347 1893 772 415 1208
Few And The Form,26/11/1980,4.118,9,552 1623 1971 1894 826 1052 26 207 383
Hurt And The Finance,9/7/1971,5.118,12,272 387 664 158 971 1275 548 1437 1461 913 371 119
The Extreme,11/5/1985,4.222,3,616 161 1194
Maybe And The Cross,4/12/1977,5.167,10,440 1790 1163 729 1948 769 438 395 1309 954
The Version,20/3/2005,8.317,6,1904 853 1513 549 1379 1106
The Blind,22/3/2014,6.799,12,229 183 172 251 1768 356 1426 1029 1146 1556 1065 96
Multiply The Shine,7/8/1984,5.274,12,1842 355 1391 1942 66 1416 394 830 509 465 958 729
The East,5/5/1973,4.905,5,1389 1810 1938 371 518
Island And The Battle,3/6/1988,7.012,16,131 1610 112 749 647 1970 938 267 1916 1449 1488 1908 226 1053 540 1393
West Seat,17/7/1980,5.333,11,1733 145 1277 1002 720 1172 1114 1411 1717 429 290
Condemn The Comfort,8/8/1979,8.435,10,1710 979 81 1533 288 1457 129 1117 301 24
Adult And The Mouse,24/1/1986,7.803,12,485 811 157 860 705 1767 1239 781 700 140 1123 221
Gate And The Roof,11/10/1991,1.766,10,1439 21 1407 1890 518 1559 123 1912 536 1938
The Rough,10/12/2008,2.988,13,1868 748 1 1194 948 290 1496 1291 883 1896 174 1099 600
College And The Strategy,14/10/2015,5.684,9,1965 1106 469 108 914 1434 488 1278 972
Perennial Pot,15/10/1985,6.523,15,1931 1780 1614 1876 1878 578 885 1542 1531 302 510 291 1879 1966 0
Advance The Obligation,13/1/1994,3.563,5,501 1006 135 1170 1355
Trade And The Train,3/10/2004,1.017,4,166 1115 193 1197
The Background,20/12/2004,1.075,4,258 202 1646 780
Forget The Joke,12/8/2013,6.505,2,51 533
Mind And The Bend,3/2/1971,4.413,9,1984 1231 1386 1274 494 1148 705 683 11
Commence The Feel,13/4/2015,7.277,5,7 225 1140 1785 1629
Remedy The Brain,26/7/2007,4.478,3,1605 1498 1731
Title And The Register,17/9/1978,6.005,11,1026 1346 44 1291 1563 1588 1738 1270 263 1846 1674
The Sell,5/12/2014,4.082,2,538 456
The Mode,9/2/2006,7.017,4,851 684 708 1262
Intend The Beautiful,22/2/1971,7.918,16,276 970 508 908 16 260 369 574 934 864 1233 1346 801 669 92 1298
Child And The Player,12/6/2000,4.529,10,1488 1828 640 1524 1776 878 1903 219 1563 242
Senior And The Essay,10/8/1984,5.675,7,79 1082 105 142 598 123 869
The Tap,2/7/1993,8.531,12,332 1157 1527 310 455 1303 692 1458 547 1408 1480 405
Fluffy Wash,18/7/2009,6.746,16,1403 1959 1768 995 794 704 498 1536 1192 1287 678 193 1562 703 1573 1608
The Shelter,21/3/1970,5.688,15,1192 127 1029 1278 1030 1512 1076 616 1121 1749 1076 747 243 653 747
Long And The Expert,21/4/2013,9.355,6,1529 2 446 421 1674 1613
Polished View,4/7/1998,7.649,2,1799 725
Maintenance And The Cash,21/2/1976,5.401,2,1240 244
The Philosophy,11/2/1980,4.198,2,344 1325
Struggle The Season,13/7/2006,6.907,13,520 1410 594 1508 747 580 510 430 391 259 599 385 754
Insensitive Cry,21/11/1971,2.954,11,237 15 1547 749 1378 1808 883 1141 1499 1145 1342
Believe The Capital,23/1/1992,5.762,5,1062 1366 693 10 416
Scratch The Class,6/6/2004,6.941,11,203 623 61 691 1533 1888 1347 257 691 1513 228
The Royal,26/10/1971,6.942,11,1260 1966 170 1149 165 696 1644 1717 732 722 1077
Score The Definition,30/4/1997,6.776,3,1978 1558 1252
Dealer And The Mud,10/2/1988,6.357,15,466 538 807 72 814 1903 1540 910 1436 871 967 1128 1620 905 545
Glamorous Most,11/4/2011,5.808,2,1708 1371
Undergo The List,22/5/1985,5.557,16,1470 441 1603 1026 1635 821 181 441 944 1045 1485 1467 1551 569 1526 1684
Unromantic Equal,6/9/2017,6.730,4,1201 810 1620 1878
Sleep And The Local,27/6/2003,5.996,3,935 1626 985
Condition And The Silver,17/6/2000,9.316,9,370 1977 95 279 1221 861 705 929 1977
The Activity,13/3/1997,3.158,7,549 1895 658 1250 1200 1912 1853
Appeal The Normal,13/12/1971,3.649,12,890 98 362 334 67 1447 454 180 746 1496 1695 1361
The Combination,11/4/2015,6.293,14,259 372 272 111 1902 1246 292 607 695 470 755 1026 1989 698
Link The Brown,15/8/1982,5.935,7,371 1890 1885 118 168 1792 563
Overambitious Sympathy,25/12/1974,4.474,16,648 93 578 802 1957 1268 468 1649 863 1713 679 1406 1601 691 824 74
Harebrained Future,2/9/1974,7.498,13,1702 1754 776 1484 1865 1372 867 1819 150 844 183 656 1171
Telephone The Link,25/3/1996,6.530,15,395 40 1656 913 1005 847 1127 1227 504 1427 781 1582 1747 171 490
The Technology,29/12/2009,2.997,10,1239 1157 1822 405 88 1160 722 356 1379 597
Chilly Stupid,5/4/1986,6.918,4,608 1629 299 1779
Minimum Difference,15/8/2017,7.981,3,1681 1183 1476
The Water,29/2/1981,4.240,2,196 513
The Hate,2/2/1986,6.282,2,663 241
The North,13/10/2005,5.194,6,800 1175 177 1254 10 1285
Mortgage And The Cover,26/7/2012,3.830,8,909 1037 529 475 1612 11 1402 1646
Foul-smelling Energy,5/3/1978,5.686,11,252 1332 1687 1837 1889 1941 1868 665 1406 265 339
Sour Normal,20/11/2003,3.865,16,1173 260 376 87 1348 127 1565 1029 835 119 964 1249 1736 153 1462 1794
The Literature,14/11/2016,4.874,15,692 988 973 1442 630 507 1866 1109 1533 1707 1697 801 1754 181 401
Sense And The Dance,10/4/2005,5.609,2,934 1537
The Earth,21/3/1999,5.154,3,1635 1539 888
Brush The Feel,7/8/2015,3.470,11,97 1297 580 1286 1060 412 1198 1657 1697 555 1148
Tree And The Apartment,26/2/1985,5.504,6,1668 551 718 742 1765 1756
The Fortune,10/3/2010,4.361,14,274 1899 1748 1265 1136 1323 1924 1198 684 1504 1389 1958 1415 1938
The Carry,17/7/1991,8.800,7,863 302 1315 464 1330 463 1799
Airport And The Text,16/4/1973,8.507,3,1564 573 764
Untapped Cash,18/3/2005,4.153,9,1572 1514 1192 1871 247 1766 1683 1644 1903
The Reality,9/8/2013,5.373,4,573 989 549 1477
The Claim,9/10/1975,8.203,2,1612 117
Front And The Detail,21/11/2002,6.235,12,174 846 567 895 643 1666 7 1762 1843 1512 1903 1368
Load And The Attention,28/9/1977,9.206,3,593 1242 228
The Story,10/8/2007,1.140,2,1940 1689
The Share,19/8/1978,7.297,10,1858 1312 1416 922 1634 1971 1154 501 338 891
Brave And The Tie,14/6/1983,4.244,3,1414 1503 1913
Dwindling Science,15/10/1980,7.727,11,757 151 1105 1521 478 525 781 516 1142 831 1254
Voice The Consist,19/1/1993,6.477,2,888 1416
Contain The Thing,26/11/2012,3.691,10,545 823 1555 1522 1538 926 1587 547 361 1751
Locate The Guide,20/3/1980,5.052,13,276 1791 1740 1079 1800 348 1347 1574 1903 644 1431 13 213
Owe The Exam,2/5/2005,5.095,2,602 184
Rancorous Baseball,4/11/1989,6.860,15,1086 1389 360 1519 466 53 57 1079 558 406 475 1650 1367 847 1471
Limp Resist,20/10/1994,5.341,2,413 26
Stroke And The Chain,20/5/1974,7.564,12,1619 1205 801 1540 1733 100 302 1293 21 702 404 994
Design The Policy,11/3/1997,8.550,4,1471 1931 1032 1997
Individual And The Initiative,20/2/1981,9.219,15,255 1951 403 1259 854 1419 1955 374 363 849 1860 25 510 916 242
Slip And The Thing,3/5/1985,5.588,11,933 629 1180 1974 1278 1003 56 1930 1200 1339 680
Unstoppable Potato,28/10/1973,7.445,2,1572 830
Attempt The Double,24/7/1985,2.428,8,1765 875 1275 1715 1824 1789 742 540
Incalculable Enthusiasm,28/2/2006,5.392,16,1442 1366 166 463 1685 370 1133 1923 543 51 796 1471 1549 753 763 287
Pretend Analyst,28/5/1990,5.029,12,1542 1566 955 1476 391 358 1203 946 1268 1025 1074 1668
Throw The Extent,17/6/1981,6.495,2,1901 821
Undiplomatic Reserve,11/3/1995,6.154,14,1151 1386 993 313 1422 677 1345 355 1386 1 1115 109 1776 1613
Pleasurable Bench,15/10/1991,4.514,8,315 1078 736 834 1142 863 503 1653
Loveable Sample,20/1/2009,7.009,12,1806 138 203 1721 30 129 510 506 1886 1130 1330 598
Wooing Inspection,17/12/1988,8.962,4,1670 1659 655 1371
Preoccupied Mind,29/1/2000,2.267,15,67 1392 1404 742 365 757 1652 499 671 1086 825 944 1494 773 1134
Branch And The Price,4/8/2015,9.292,4,1241 98 829 1607
Relentless Model,3/1/1999,7.446,14,72 1946 933 1741 1688 591 1477 1094 328 788 1518 1595 1040 601
Change And The Spirit,25/6/1988,2.954,9,1005 1664 1059 811 588 907 1574 764 904
The Jacket,18/8/2015,8.511,12,568 275 1037 1587 1603 718 1624 1140 533 1623 431 497
The Storage,14/6/1979,8.664,2,1101 1087
The Resident,4/5/2015,7.139,10,564 1656 1076 820 1387 34 1754 1253 1440 623
Campaign The Administration,25/8/2017,4.684,13,1808 1768 1445 636 1485 796 1560 1061 1887 1378 1988 318 853
The Dinner,22/11/1998,8.102,4,1052 91 619 1391
The Lady,25/2/1983,4.597,10,79 955 904 1974 285 134 1824 674 1693 326
The Map,24/12/1982,2.912,4,1285 68 146 87
The Employee,21/3/2000,4.335,16,590 293 1697 198 1544 1136 1487 1550 11 1987 1954 223 506 1828 489 47
Disputatious Champion,15/12/1988,3.323,2,1169 1741
Brick And The Wave,9/7/2006,5.742,8,901 611 838 1718 648 1070 169 1537
Disk And The Plant,9/12/2009,7.503,13,1196 283 56 1876 1908 1116 459 522 1019 188 1851 459 288
Differentiate The Emotion,10/5/1975,5.366,8,338 1178 409 472 1373 526 1998 455
Gigantic Sign,9/8/1975,6.279,14,807 1336 1331 566 297 1922 1727 476 998 53 565 1483 340 1321
Tend The Somewhere,27/12/1970,4.876,10,1601 1913 1458 1892 553 1579 703 1862 1595 1217
Gear And The Policy,22/7/1992,6.562,4,1450 1857 1696 1246
The Breakfast,15/5/1978,8.724,15,1814 535 1227 1624 272 1384 1680 1113 1997 92 1935 1761 1485 207 553
The Subject,21/5/2006,8.774,7,1759 742 1504 867 1557 490 1355
The Role,30/4/1988,7.312,2,1371 595
Dance And The Engineer,10/6/1997,4.678,15,1941 736 202 1824 1661 1652 1783 1960 537 630 1185 1738 1507 1894 248
Brief And The Key,24/3/1998,4.872,3,1193 599 1186
Undergo The Restaurant,28/3/1980,4.597,4,675 683 560 1320
The Mission,19/5/2004,6.612,12,187 1862 950 1279 550 602 687 1039 263 1866 78 1311
Way And The Rent,3/11/1996,3.662,12,324 130 124 480 302 210 604 287 287 870 576 785
Anticipate The Arm,17/8/1991,5.209,7,1563 169 1518 118 1078 813 82
Stop And The Database,22/4/2007,7.067,15,695 878 563 1913 1554 1527 1564 958 1909 648 1373 1299 1264 1458 301
Tasteless Transition,25/3/1992,6.899,3,1035 1462 574
The Truck,13/2/2006,6.198,9,1385 1601 1989 850 251 468 156 426 1540
Grab The Force,27/2/1979,7.285,10,348 328 848 1630 241 918 1772 463 837 1494
Shake The Chemical,6/9/2012,4.966,9,708 1232 1415 356 1172 1401 1193 607 193
The Queen,6/1/1973,9.745,4,1105 1357 1749 420
Review The Use,8/1/2013,2.815,12,374 707 1390 438 1345 1894 552 945 1365 364 1664 1111
Install The Signal,8/9/2007,3.736,5,1300 80 239 809 1178
The Pitch,16/3/2017,6.345,11,1285 246 1396 534 1230 510 186 1070 1210 1374 761
The Medium,20/10/2012,4.430,13,1761 1009 1290 1362 1038 49 915 634 81 890 985 234 1256
Step The Dear,16/8/2003,4.643,14,627 994 1730 1727 1759 58 1127 1433 1529 532 846 560 282 1334
The Vacation,16/5/2005,6.500,15,473 1748 383 1223 937 1300 1596 1079 1098 503 1521 1056 205 393 1402
Appear The Field,4/3/2017,2.039,15,636 1323 1272 1783 578 921 337 1572 421 1698 1239 1895 175 750 1434
The Leading,15/12/2013,8.745,10,837 1138 1967 123 126 812 734 919 464 1590
Height And The Expert,3/9/2004,5.302,14,561 1393 406 183 906 1775 383 913 1561 1098 11 1338 1629 1713
Insidious Safe,28/7/1975,6.795,8,418 1045 944 676 812 1787 662 1021
Quick-acting System,10/11/1991,7.469,6,1858 311 1261 1008 118 470
Lend The Gene,22/5/2009,6.957,7,1235 1096 434 22 481 646 743
The Highlight,11/7/1990,8.133,10,1321 1067 1183 407 417 1583 788 1981 228 1174
Maintenance And The Press,4/7/1980,4.399,11,1356 1039 628 681 1454 1314 1424 1610 849 1308 1995
The Rich,10/3/1979,6.004,11,1678 1649 260 966 429 77 275 944 643 1228 166
Assignment And The Stretch,25/4/1986,5.389,4,663 298 1785 117
Satisfactory Bunch,4/11/1970,4.741,9,931 1936 1377 899 1361 1917 211 1534 1961
Beware The Fish,1/5/2005,2.449,12,1916 1966 1928 223 1017 542 1813 1069 1730 1482 332 1604
Conceive The Revenue,16/12/1987,4.807,8,223 1709 1807 617 1128 100 700 271
Start The Volume,26/4/1983,5.905,11,295 1083 917 1995 969 251 1540 190 833 1395 273
Discover The Screw,19/10/1995,3.030,15,721 1731 1998 1145 548 269 1722 1019 1554 94 1091 1475 1207 259 201
Pert Factor,25/2/1983,7.300,11,305 1620 1218 1697 1852 693 555 514 1830 1218 531
Vehicle And The Swimming,11/9/1997,8.558,11,1670 1052 664 1535 1505 489 1550 1894 231 547 757
Detect The Crazy,14/3/2014,7.552,9,1476 1591 659 1475 1818 275 1246 1287 444
Outside And The Brilliant,19/12/1996,3.280,10,712 752 1258 601 613 1268 241 1421 1539 1814
Unobserved Whereas,29/10/1979,6.558,3,503 1654 1123
Minimum Replacement,7/11/1977,7.487,11,1388 1046 545 1672 1453 1198 285 783 1608 1773 176
Strenuous Rent,7/5/1973,6.892,9,1674 836 705 1838 1170 209 1598 399 954
Sustain The Presence,23/10/2015,7.441,13,1230 1926 1929 1517 262 184 1803 92 449 118 1113 126 86
Warn The Flow,1/6/1994,9.326,5,1911 1751 1798 1926 161
Snap The Policy,27/6/2001,4.399,11,341 1333 1900 645 701 379 28 1816 586 178 1926
Bedazzling Profile,14/3/1982,1.396,16,374 799 365 1506 1352 1411 590 155 1051 1903 1093 1942 486 616 1459 1751
Copy The Turn,24/6/2010,7.221,10,190 1759 1124 524 1695 722 421 941 448 1189
Normal And The Upstairs,29/9/1987,3.742,4,1553 1030 1311 540
Still And The Green,28/11/1973,5.983,3,1621 560 1398
The Walk,16/3/1976,5.310,13,1907 1549 21 1737 1770 1551 372 1287 719 92 1935 816 1354
Unmanly Few,28/6/1996,6.404,2,421 390
Uninsurable Lie,25/5/1975,7.079,9,1392 1796 493 1157 1666 367 1402 1942 743
Egomaniacal Reception,13/1/1974,6.566,12,1003 806 1159 1082 1071 258 484 159 1017 1721 613 346
Challenge And The Tour,21/3/1983,7.950,13,719 1844 348 922 748 357 1148 1655 1477 267 491 238 1430
White And The Apartment,8/1/1979,5.314,4,232 1470 1239 1964
Regard The Country,9/3/1991,3.290,15,1710 1251 619 129 1156 1069 635 1515 993 1614 63 1459 1313 1679 1928
