1090
Yegoryevsk 8	Krasnoarmeysk 31 Roslavl 23 Abakan 154 Plast 184 Nolinsk 28 Novosil 168 Zeya 134 MariinskyPosad 54 
Kirs 12	VerkhnyTagil 92 Arsk 109 Dyatkovo 93 Zima 35 Zvenigovo 140 Medvezhyegorsk 49 Temnikov 122 Yoshkar-Ola 55 ZapadnayaDvina 115 Otradnoye 191 Moskovsky 135 Borisoglebsk 159 
Ulan-Ude 5	DagestanskiyeOgni 77 Pereslavl-Zalessky 111 Lesosibirsk 81 Zaozyorsk 19 Shcherbinka 149 
Zhukov 12	Labytnangi 82 Bikin 198 Livny 56 Temnikov 154 Gorodovikovsk 124 Rostov-on-Don 118 Buzuluk 159 Kurtamysh 75 Kupino 148 Buturlinovka 140 Novorzhev 104 Vorsma 92 
Khvalynsk 9	Labinsk 105 Isilkul 13 Kushva 176 Izberbash 191 Shchyolkovo 118 Shumerlya 15 Tuapse 130 VerkhnyTagil 59 Pudozh 26 
Novosil 7	Buinsk 61 Tsivilsk 126 Yegoryevsk 168 Rodniki 29 Kolomna 106 MalayaVishera 190 Salekhard 53 
Tuapse 9	Novozybkov 181 Karachev 80 Sochi 128 Nyurba 160 Khvalynsk 130 Shelekhov 12 Polevskoy 37 Kursk 106 Chebarkul 187 
Yanaul 5	Manturovo 97 Makaryev 95 LodeynoyePole 166 Barysh 64 Lyudinovo 10 
Vereya 11	Chernogorsk 27 Usolye 105 Laishevo 119 Ardon 83 Baksan 42 Svirsk 139 Naryan-Mar 82 Poshekhonye 174 Gorokhovets 115 Bilibino 66 Novosibirsk 10 
Slantsy 11	Dyatkovo 136 Slavsk 103 Ust-Labinsk 21 Kaluga 167 NizhnyLomov 36 Volgorechensk 101 Sergach 178 Makhachkala 121 Yeysk 60 Sursk 191 Pugachyov 144 
Lyskovo 9	Ishimbay 137 Nyurba 200 Kogalym 164 Anapa 94 Karpinsk 52 Kronstadt 117 Spassk-Dalny 109 Neftegorsk 48 Dorogobuzh 36 
Khimki 6	Vladikavkaz 147 Kaspiysk 155 Vidnoye 184 Novoulyanovsk 64 NovyUrengoy 87 Gukovo 80 
Yoshkar-Ola 16	Kimry 74 Rzhev 90 Neryungri 52 Kirs 55 Shuya 36 Bobrov 71 Belokurikha 13 Mezen 38 Megion 156 Teykovo 90 Slobodskoy 70 Beloyarsky 127 Tavda 112 Dyurtyuli 147 Shatura 110 Ust-Dzheguta 32 
Medvezhyegorsk 8	Sestroretsk 120 Usinsk 188 Kirs 49 Kartaly 92 KrasnySulin 145 Krymsk 44 Bolkhov 155 Kurganinsk 112 
Kalyazin 10	Kushva 35 Vyazma 141 Kuvshinovo 107 Bogorodsk 134 Kirsanov 160 Nakhodka 185 Shumerlya 192 Suzdal 78 Sudogda 88 Kaspiysk 23 
Langepas 8	Donetsk 135 Opochka 101 Fatezh 45 Kaspiysk 27 Okha 94 Sengiley 199 Severodvinsk 38 Nalchik 13 
Bugulma 11	Vysokovsk 173 Khanty-Mansiysk 115 Prokhladny 46 Serov 189 Dno 100 Kurgan 190 Luga 169 Chaplygin 92 Kalach-na-Donu 28 Bezhetsk 106 Gus-Khrustalny 55 
Zheleznovodsk 9	Kirensk 196 Izobilny 184 Zima 163 Primorsk 149 Udomlya 193 Karachayevsk 131 Priozersk 115 Furmanov 106 Dimitrovgrad 113 
