200
Dolgoprudnii 2	Osaka 73 Singapore 210 
Memphis 3	PortoAlegre 352 Tulsa 378 Toulouse 337 
Antwerp 2	Houston 490 Seattle 445 
Austin 3	Aachen 704 Jeddah 672 Taipei 753 
PortElizabeth 4	Glasgow 525 Chicago 380 Cologne 217 Richmond 288 
Bridgeport 4	Lumumbashi 339 NewHaven 318 Dallas 364 Dayton 303 
Nice 3	Akron 660 Porto 596 NewHaven 419 
SaltLakeCity 2	NewYork 488 Beirut 769 
Jacksonville 4	LasVegas 255 Aachen 708 Baltimore 618 Rochester 492 
Calgary 2	Santiago 16 Albany 759 
Louisville 5	SanDiego 588 OklahomaCity 225 RiodeJaneiro 205 Rotterdam 96 Ottawa 243 
Hartford 4	Karachi 394 Shenyang 230 Taipei 109 Recife 139 
Ottawa 2	Louisville 243 Tucson 751 
Richmond 4	PortElizabeth 288 Charlotte 398 Nagoya 204 Nantes 194 
Edmonton 3	Fukuoka 631 Madrid 536 Khartoum 657 
Toulouse 4	Turin 548 Allentown 578 Memphis 337 Akron 625 
Charlotte 7	SaoPaulo 746 Durban 87 Santiago 298 Tianjin 43 Richmond 398 OklahomaCity 162 Springfield 632 
Bordeaux 5	Donetsk 434 Baghdad 87 Seoul 557 Hamburg 59 NewHaven 14 
Nashville 2	Kolkata 394 Bangalore 388 
OklahomaCity 5	Charlotte 162 Jakarta 764 Durban 286 LasVegas 484 Louisville 225 
Tucson 3	Ottawa 751 Warsaw 507 NewYork 144 
Honolulu 6	Taichung 696 Seoul 455 ElPaso 726 SanAntonio 763 Adelaide 507 Vereeniging 767 
Dayton 2	Bridgeport 303 Shanghai 129 
Rochester 6	Mumbai 348 Jacksonville 492 Nantes 738 PortoAlegre 789 Tashkent 469 Marseille 319 
ElPaso 6	RiodeJaneiro 367 Phoenix 55 Turin 753 Jakarta 413 Indianapolis 655 Honolulu 726 
Birmingham 7	Milwaukee 368 St.Louis 52 Baghdad 143 Melbourne 69 Brussels 713 Accra 547 Stuttgart 488 
Quebec 4	Barcelona 689 Cairo 663 Beijing 555 Jeddah 229 
Omaha 2	Singapore 486 TelAviv 580 
Winnipeg 3	Tianjin 557 SanFrancisco 717 Recife 782 
Vereeniging 4	Honolulu 767 London 301 Beirut 650 Marseille 382 
Albuquerque 4	AbuDhabi 164 Goiania 675 Orlando 625 Chicago 776 
Aachen 6	Damman 632 Kinshasa 710 Shanghai 591 SanJuan 514 Austin 704 Jacksonville 708 
Allentown 3	RiodeJaneiro 653 Campinas 72 Toulouse 578 
Springfield 3	Charlotte 632 Jeddah 303 TelAviv 775 
Akron 7	Copenhagen 284 Toulouse 625 Munich 336 Tianjin 774 BeloHorizonte 51 Columbus 737 Nice 660 
Albany 3	Calgary 759 BeloHorizonte 373 Raleigh 114 
Sarasota 3	SanAntonio 297 Lima 467 Guadalajara 645 
Tulsa 5	Fortaleza 372 Shenzhen 506 Istanbul 321 Rotterdam 16 Memphis 378 
Concord 3	Montreal 353 Shenyang 595 Hyderabad 379 
AbuDhabi 5	Dalian 713 LosAngeles 375 Manchester 138 NizhniNovgorod 124 Albuquerque 164 
Nantes 4	Richmond 194 Lyon 128 Rotterdam 755 Rochester 738 
Raleigh 3	Adelaide 280 Fortaleza 88 Albany 114 
GrandRapids 3	Kolkata 303 Jakarta 443 Beijing 560 
NewHaven 4	Bordeaux 14 Nice 419 Istanbul 599 Bridgeport 318 
