number_of_features=3
number_of_samples=2200
features:
	pclass age sex
result:
	survived
feature1: 4
	1st
	2nd
	3rd
	crew
feature2: 2
	adult
	child
feature3: 2
	male
	female
results: 2
	yes
	no

Data:
pclass	age	sex	survived
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	no
1st	adult	female	no
1st	adult	female	no
1st	adult	female	no
1st	child	male	yes
1st	child	male	yes
1st	child	male	yes
1st	child	male	yes
1st	child	male	yes
1st	child	female	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	yes
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	adult	female	no
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	male	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	male	no
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	yes
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	adult	female	no
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
